年月日,口座,商品名,アセット,価格,備考
2023-06-13,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,18895,iDeco開始
2023-07-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,　　
2023-07-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2023-08-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,150000,
2023-08-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2023-09-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,150000,
2023-09-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2023-10-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,150000,
2023-10-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2023-11-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,150000,
2023-11-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2023-12-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,150000,
2023-12-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-01-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,新NISA開始
2024-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-01-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-02-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-02-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
