日付,国内株式,先進国株式,全世界株式,米国株式,バランス
2017-05-23,8287.9778930131,10260,9294.44636985693,0.0,9964
2017-05-24,8342.40502183406,10326,9352.74735626055,0.0,10002
2017-05-25,8371.74163027657,10342,9367.81835954857,0.0,10027
2017-05-26,8318.47252547307,10374,9403.11623567049,0.0,10040
2017-05-29,8316.15647743814,10323,9360.28285790456,0.0,10012
2017-05-30,8314.22643740902,10290,9328.15782458011,0.0,9987
2017-05-31,8302.64619723435,10272,9309.51737314494,0.0,9970
2017-06-01,8391.04203056769,10283,9311.50039989336,0.0,10000
2017-06-02,8525.37281659389,10409,9423.3431085044,0.0,10075
2017-06-05,8522.67076055313,10353,9373.37083444415,0.0,10042
2017-06-06,8441.60907933042,10308,9338.07295832223,0.0,10014
2017-06-07,8443.15311135371,10214,9253.19941348974,0.0,9975
2017-06-08,8412.27247088792,10258,9292.46334310851,0.0,9980
2017-06-09,8455.11935953421,10247,9290.0837110104,0.0,9974
2017-06-12,8410.72843886463,10279,9313.88003199147,0.0,9995
2017-06-13,8407.25436681223,10230,9262.32133653248,0.0,9978
2017-06-14,8400.69223071325,10292,9315.46645339021,0.0,9994
2017-06-15,8378.30376637555,10247,9280.56518261797,0.0,10009
2017-06-16,8425.7827510917,10328,9346.00506531592,0.0,10049
2017-06-19,8477.50782387191,10353,9365.83533280014,0.0,10067
2017-06-20,8546.60325691412,10496,9495.92188749667,0.0,10121
2017-06-21,8507.23044032023,10383,9396.37394472585,0.0,10061
2017-06-22,8495.26419213974,10349,9367.42175419888,0.0,10039
2017-06-23,8504.52838427948,10376,9393.59770727806,0.0,10059
2017-06-26,8513.40656841339,10386,9405.09926241891,0.0,10074
2017-06-27,8542.7431768559,10460,9480.45427885897,0.0,10140
2017-06-28,8514.56459243086,10433,9455.46814182885,0.0,10118
2017-06-29,8552.00736899563,10540,9542.32471340976,0.0,10166
2017-06-30,8472.48971979622,10431,9448.72585088421,0.0,10087
2017-07-03,8482.13991994178,10438,9455.07153647916,0.0,10088
2017-07-04,8471.33169577875,10563,9569.29387718831,0.0,10140
2017-07-05,8492.17612809316,10540,9541.92810806007,0.0,10124
2017-07-06,8455.50536754003,10543,9548.27379365503,0.0,10110
2017-07-07,8428.48480713246,10500,9510.19968008531,0.0,10065
2017-07-10,8492.17612809316,10620,9612.52386030392,0.0,10120
2017-07-11,8540.42712882096,10645,9639.09641873278,0.0,10133
2017-07-12,8499.12427219796,10597,9608.16120145739,0.0,10098
2017-07-13,8499.51028020378,10642,9654.96063272016,0.0,10140
2017-07-14,8508.00245633188,10691,9707.70914422821,0.0,10160
2017-07-18,8456.6633915575,10646,9672.0146627566,0.0,10166
2017-07-19,8465.54157569141,10600,9633.5439438372,0.0,10180
2017-07-20,8517.65265647744,10651,9679.94676975029,0.0,10224
2017-07-21,8498.73826419214,10681,9705.72611747978,0.0,10230
2017-07-24,8445.85516739447,10547,9586.74451257443,0.0,10162
